,Time,exchange,vol_total,vol_cny,vol_usd,vol_eur,vol_inr,vol_jpy,vol_krw,vol_sgd
19420,2010-07-25,lakebtc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38225,2010-07-25,coinbase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2010-07-25,mtgox,1551.48,0.0,1551.48,0.0,0.0,0.0,0.0,0.0
5556,2010-07-26,bitflyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8329,2010-07-26,bitstamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2783,2010-07-26,bitfinex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13875,2010-07-26,btce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16648,2010-07-26,huobi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32657,2010-07-26,bix-x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11102,2010-07-26,btcchina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35434,2010-07-26,itbit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2010-07-26,mtgox,877.0,0.0,877.0,0.0,0.0,0.0,0.0,0.0
38226,2010-07-26,coinbase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19421,2010-07-26,lakebtc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22194,2010-07-26,okcoin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24967,2010-07-26,others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5557,2010-07-27,bitflyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2784,2010-07-27,bitfinex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19422,2010-07-27,lakebtc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32658,2010-07-27,bix-x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38227,2010-07-27,coinbase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22195,2010-07-27,okcoin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16649,2010-07-27,huobi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35435,2010-07-27,itbit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11103,2010-07-27,btcchina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8330,2010-07-27,bitstamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24968,2010-07-27,others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2010-07-27,mtgox,3373.69,0.0,3373.69,0.0,0.0,0.0,0.0,0.0
13876,2010-07-27,btce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22196,2010-07-28,okcoin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11104,2010-07-28,btcchina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24969,2010-07-28,others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2785,2010-07-28,bitfinex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19423,2010-07-28,lakebtc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35436,2010-07-28,itbit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8331,2010-07-28,bitstamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32659,2010-07-28,bix-x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16650,2010-07-28,huobi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5558,2010-07-28,bitflyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2010-07-28,mtgox,4390.29,0.0,4390.29,0.0,0.0,0.0,0.0,0.0
38228,2010-07-28,coinbase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13877,2010-07-28,btce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32660,2010-07-29,bix-x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35437,2010-07-29,itbit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2010-07-29,mtgox,8058.49,0.0,8058.49,0.0,0.0,0.0,0.0,0.0
5559,2010-07-29,bitflyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22197,2010-07-29,okcoin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13878,2010-07-29,btce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2786,2010-07-29,bitfinex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16651,2010-07-29,huobi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38229,2010-07-29,coinbase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24970,2010-07-29,others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
