Time,localbitcoins
2014-05-06 00:00:00 UTC,6.8674
2014-05-07 00:00:00 UTC,4.3706
2014-05-08 00:00:00 UTC,16.4224
2014-05-09 00:00:00 UTC,7.6509
2014-05-10 00:00:00 UTC,9.6551
2014-05-11 00:00:00 UTC,2.001
2014-05-12 00:00:00 UTC,9.7556
2014-05-13 00:00:00 UTC,5.5258
2014-05-14 00:00:00 UTC,9.0677
2014-05-15 00:00:00 UTC,1.3651
2014-05-16 00:00:00 UTC,8.278
2014-05-17 00:00:00 UTC,2.7966
2014-05-19 00:00:00 UTC,0.3764
2014-05-20 00:00:00 UTC,1.966
2014-05-21 00:00:00 UTC,10.9046
2014-05-22 00:00:00 UTC,6.871
2014-05-23 00:00:00 UTC,27.7461
2014-05-24 00:00:00 UTC,4.3605
2014-05-25 00:00:00 UTC,12.2739
2014-05-26 00:00:00 UTC,6.9393
2014-05-27 00:00:00 UTC,2.207
2014-05-28 00:00:00 UTC,7.9177
2014-05-29 00:00:00 UTC,6.0372
2014-05-30 00:00:00 UTC,5.9515
2014-05-31 00:00:00 UTC,2.322
2014-06-01 00:00:00 UTC,0.4058
2014-06-02 00:00:00 UTC,4.5082
2014-06-03 00:00:00 UTC,3.097
2014-06-04 00:00:00 UTC,3.2302
2014-06-05 00:00:00 UTC,1.2484
2014-06-06 00:00:00 UTC,6.5247
2014-06-07 00:00:00 UTC,4.0774
2014-06-08 00:00:00 UTC,0.1597
2014-06-09 00:00:00 UTC,6.9829
2014-06-10 00:00:00 UTC,7.4924
2014-06-11 00:00:00 UTC,3.1742
2014-06-12 00:00:00 UTC,9.3787
2014-06-13 00:00:00 UTC,4.6533
2014-06-14 00:00:00 UTC,2.5668
2014-06-15 00:00:00 UTC,0.4826
2014-06-16 00:00:00 UTC,5.9192
2014-06-17 00:00:00 UTC,6.0965
2014-06-18 00:00:00 UTC,9.4496
2014-06-19 00:00:00 UTC,5.3052
2014-06-20 00:00:00 UTC,3.4259
2014-06-21 00:00:00 UTC,2.0189
2014-06-22 00:00:00 UTC,5.1796
2014-06-23 00:00:00 UTC,2.916
2014-06-24 00:00:00 UTC,1.0454
2014-06-25 00:00:00 UTC,13.6354
2014-06-26 00:00:00 UTC,2.1979
2014-06-27 00:00:00 UTC,4.9708
2014-06-28 00:00:00 UTC,3.0668
2014-06-29 00:00:00 UTC,2.002
2014-06-30 00:00:00 UTC,2.7033
2014-07-01 00:00:00 UTC,2.3538
2014-07-02 00:00:00 UTC,9.7543
2014-07-03 00:00:00 UTC,3.072
2014-07-04 00:00:00 UTC,3.702
2014-07-05 00:00:00 UTC,3.1684
2014-07-06 00:00:00 UTC,0.9039
2014-07-07 00:00:00 UTC,3.5205
2014-07-08 00:00:00 UTC,10.7631
2014-07-09 00:00:00 UTC,7.8596
2014-07-10 00:00:00 UTC,10.0583
2014-07-11 00:00:00 UTC,1.2467
2014-07-12 00:00:00 UTC,3.1892
2014-07-13 00:00:00 UTC,13.487
2014-07-14 00:00:00 UTC,33.9855
2014-07-15 00:00:00 UTC,6.1301
2014-07-16 00:00:00 UTC,4.5752
2014-07-17 00:00:00 UTC,5.1506
2014-07-18 00:00:00 UTC,2.4018
2014-07-19 00:00:00 UTC,4.6432
2014-07-20 00:00:00 UTC,1.1061
2014-07-21 00:00:00 UTC,7.2055
2014-07-22 00:00:00 UTC,2.5306
2014-07-23 00:00:00 UTC,2.2043
2014-07-24 00:00:00 UTC,3.4849
2014-07-25 00:00:00 UTC,9.485
2014-07-26 00:00:00 UTC,4.8542
2014-07-27 00:00:00 UTC,0.5927
2014-07-28 00:00:00 UTC,8.6605
2014-07-29 00:00:00 UTC,3.3347
2014-07-30 00:00:00 UTC,4.718
2014-07-31 00:00:00 UTC,7.7551
2014-08-01 00:00:00 UTC,6.051
2014-08-02 00:00:00 UTC,3.5134
2014-08-03 00:00:00 UTC,0.1661
2014-08-04 00:00:00 UTC,12.2147
2014-08-05 00:00:00 UTC,10.3042
2014-08-06 00:00:00 UTC,5.2035
2014-08-07 00:00:00 UTC,2.5001
2014-08-08 00:00:00 UTC,4.4055
2014-08-09 00:00:00 UTC,4.5059
2014-08-10 00:00:00 UTC,2.9771
2014-08-11 00:00:00 UTC,5.5801
2014-08-12 00:00:00 UTC,7.9859
2014-08-13 00:00:00 UTC,5.3603
2014-08-14 00:00:00 UTC,7.0291
2014-08-15 00:00:00 UTC,0.9834
2014-08-16 00:00:00 UTC,3.9088
2014-08-17 00:00:00 UTC,0.537
2014-08-18 00:00:00 UTC,5.9706
2014-08-19 00:00:00 UTC,12.3338
2014-08-20 00:00:00 UTC,4.2831
2014-08-21 00:00:00 UTC,5.4329
2014-08-22 00:00:00 UTC,2.9703
2014-08-23 00:00:00 UTC,5.0603
2014-08-24 00:00:00 UTC,0.686
2014-08-25 00:00:00 UTC,4.8281
2014-08-26 00:00:00 UTC,8.463
2014-08-27 00:00:00 UTC,11.2851
2014-08-28 00:00:00 UTC,4.1822
2014-08-29 00:00:00 UTC,3.0063
2014-08-30 00:00:00 UTC,4.923
2014-08-31 00:00:00 UTC,1.0201
2014-09-01 00:00:00 UTC,3.5982
2014-09-02 00:00:00 UTC,9.7256
2014-09-03 00:00:00 UTC,4.5407
2014-09-04 00:00:00 UTC,6.1327
2014-09-05 00:00:00 UTC,3.9212
2014-09-06 00:00:00 UTC,1.5447
2014-09-07 00:00:00 UTC,0.7914
2014-09-08 00:00:00 UTC,6.1037
2014-09-09 00:00:00 UTC,5.6751
2014-09-10 00:00:00 UTC,3.9017
2014-09-11 00:00:00 UTC,4.2649
2014-09-12 00:00:00 UTC,18.5034
2014-09-13 00:00:00 UTC,1.0701
2014-09-14 00:00:00 UTC,1.9755
2014-09-15 00:00:00 UTC,6.0637
2014-09-16 00:00:00 UTC,9.5761
2014-09-17 00:00:00 UTC,3.3167
2014-09-18 00:00:00 UTC,13.7955
2014-09-19 00:00:00 UTC,4.5925
2014-09-20 00:00:00 UTC,5.1915
2014-09-21 00:00:00 UTC,5.7169
2014-09-22 00:00:00 UTC,13.9081
2014-09-23 00:00:00 UTC,20.4147
2014-09-24 00:00:00 UTC,28.2866
2014-09-25 00:00:00 UTC,52.5441
2014-09-26 00:00:00 UTC,6.2397
2014-09-27 00:00:00 UTC,11.0109
2014-09-28 00:00:00 UTC,7.85
2014-09-29 00:00:00 UTC,18.8783
2014-09-30 00:00:00 UTC,18.9798
2014-10-01 00:00:00 UTC,15.7638
2014-10-02 00:00:00 UTC,3.4089
2014-10-03 00:00:00 UTC,20.8795
2014-10-04 00:00:00 UTC,0.719
2014-10-05 00:00:00 UTC,15.7245
2014-10-06 00:00:00 UTC,13.6931
2014-10-07 00:00:00 UTC,8.8968
2014-10-08 00:00:00 UTC,1.4817
2014-10-09 00:00:00 UTC,5.0787
2014-10-10 00:00:00 UTC,4.1864
2014-10-11 00:00:00 UTC,5.967
2014-10-12 00:00:00 UTC,0.9949
2014-10-13 00:00:00 UTC,22.9512
2014-10-14 00:00:00 UTC,8.1975
2014-10-15 00:00:00 UTC,8.6952
2014-10-16 00:00:00 UTC,2.7467
2014-10-17 00:00:00 UTC,4.1467
2014-10-18 00:00:00 UTC,13.8451
2014-10-19 00:00:00 UTC,4.2229
2014-10-20 00:00:00 UTC,12.5025
2014-10-21 00:00:00 UTC,17.0458
2014-10-22 00:00:00 UTC,7.9873
2014-10-23 00:00:00 UTC,5.6927
2014-10-24 00:00:00 UTC,12.4305
2014-10-25 00:00:00 UTC,4.1227
2014-10-26 00:00:00 UTC,8.2908
2014-10-27 00:00:00 UTC,6.5749
2014-10-28 00:00:00 UTC,19.0887
2014-10-29 00:00:00 UTC,7.6187
2014-10-30 00:00:00 UTC,21.1136
2014-10-31 00:00:00 UTC,12.3292
2014-11-01 00:00:00 UTC,18.8389
2014-11-02 00:00:00 UTC,6.9787
2014-11-03 00:00:00 UTC,11.9767
2014-11-04 00:00:00 UTC,3.5187
2014-11-05 00:00:00 UTC,17.734
2014-11-06 00:00:00 UTC,13.8231
2014-11-07 00:00:00 UTC,24.496
2014-11-08 00:00:00 UTC,6.8449
2014-11-09 00:00:00 UTC,11.6134
2014-11-10 00:00:00 UTC,24.3725
2014-11-11 00:00:00 UTC,12.4226
2014-11-12 00:00:00 UTC,18.7328
2014-11-13 00:00:00 UTC,4.7915
2014-11-14 00:00:00 UTC,8.6741
2014-11-15 00:00:00 UTC,9.4932
2014-11-16 00:00:00 UTC,7.8632
2014-11-17 00:00:00 UTC,18.5941
2014-11-18 00:00:00 UTC,13.2095
2014-11-19 00:00:00 UTC,21.8875
2014-11-20 00:00:00 UTC,15.2402
2014-11-21 00:00:00 UTC,12.1983
2014-11-22 00:00:00 UTC,20.1356
2014-11-23 00:00:00 UTC,5.9719
2014-11-24 00:00:00 UTC,23.3067
2014-11-25 00:00:00 UTC,8.5631
2014-11-26 00:00:00 UTC,10.3948
2014-11-27 00:00:00 UTC,9.831
2014-11-28 00:00:00 UTC,11.0491
2014-11-29 00:00:00 UTC,11.2702
2014-11-30 00:00:00 UTC,10.9831
2014-12-01 00:00:00 UTC,14.7272
2014-12-02 00:00:00 UTC,37.7964
2014-12-03 00:00:00 UTC,5.8309
2014-12-04 00:00:00 UTC,9.1022
2014-12-05 00:00:00 UTC,60.9793
2014-12-06 00:00:00 UTC,9.7877
2014-12-07 00:00:00 UTC,6.8167
2014-12-08 00:00:00 UTC,47.9673
2014-12-09 00:00:00 UTC,11.6281
2014-12-10 00:00:00 UTC,7.4732
2014-12-11 00:00:00 UTC,16.6648
2014-12-12 00:00:00 UTC,7.1251
2014-12-13 00:00:00 UTC,8.4318
2014-12-14 00:00:00 UTC,6.2584
2014-12-15 00:00:00 UTC,13.2259
2014-12-16 00:00:00 UTC,8.6552
2014-12-17 00:00:00 UTC,15.648
2014-12-18 00:00:00 UTC,12.5739
2014-12-19 00:00:00 UTC,20.5998
2014-12-20 00:00:00 UTC,7.1598
2014-12-21 00:00:00 UTC,7.5888
2014-12-22 00:00:00 UTC,12.5121
2014-12-23 00:00:00 UTC,14.5201
2014-12-24 00:00:00 UTC,16.1404
2014-12-25 00:00:00 UTC,2.1905
