,Time,mining level,exchange,price_usd
20971,2016-02-17,144116447847.349,hitbtc,419.973488717718
20972,2016-02-17,144116447847.349,kraken,412.594843616006
20973,2016-02-17,144116447847.349,others,412.76585272897233
20975,2016-02-18,144116447847.349,itbit,419.590729000592
20976,2016-02-18,144116447847.349,bitfinex,419.674195026205
20977,2016-02-18,144116447847.349,cex.io,422.568146088976
20978,2016-02-18,144116447847.349,exmo,416.16238876379094
20979,2016-02-18,144116447847.349,coinbase,419.63704508050904
20980,2016-02-18,144116447847.349,gemini,419.24734924520203
20981,2016-02-18,144116447847.349,hitbtc,423.265461768082
20982,2016-02-18,144116447847.349,kraken,418.932459538659
20983,2016-02-18,144116447847.349,others,420.6004368542086
20985,2016-02-19,163491654908.959,itbit,419.357431797022
20986,2016-02-19,163491654908.959,bitfinex,419.34771089250097
20987,2016-02-19,163491654908.959,cex.io,424.459325222398
20988,2016-02-19,163491654908.959,exmo,417.71272360125
20989,2016-02-19,163491654908.959,coinbase,419.54849921823404
20990,2016-02-19,163491654908.959,gemini,419.851712638403
20991,2016-02-19,163491654908.959,hitbtc,421.665102733411
20992,2016-02-19,163491654908.959,kraken,418.395165842574
20993,2016-02-19,163491654908.959,others,420.18684283414916
20995,2016-02-20,163491654908.959,itbit,429.2011612268
20996,2016-02-20,163491654908.959,bitfinex,431.124369477979
20997,2016-02-20,163491654908.959,cex.io,431.39832306524
20998,2016-02-20,163491654908.959,exmo,426.62041552342794
20999,2016-02-20,163491654908.959,coinbase,431.083849830259
21000,2016-02-20,163491654908.959,gemini,429.82680761353106
21001,2016-02-20,163491654908.959,hitbtc,434.18048353405703
21002,2016-02-20,163491654908.959,kraken,428.98014389818604
21003,2016-02-20,163491654908.959,others,429.4224931795309
21005,2016-02-21,163491654908.959,itbit,436.795239791104
21006,2016-02-21,163491654908.959,bitfinex,440.168224517127
21007,2016-02-21,163491654908.959,cex.io,439.578234267233
21008,2016-02-21,163491654908.959,exmo,432.868945823181
21009,2016-02-21,163491654908.959,coinbase,437.949657506447
21010,2016-02-21,163491654908.959,gemini,437.66101374644404
21011,2016-02-21,163491654908.959,hitbtc,440.559065563219
21012,2016-02-21,163491654908.959,kraken,434.58745154357905
21013,2016-02-21,163491654908.959,others,435.59413766962916
21015,2016-02-22,163491654908.959,itbit,435.569897697336
21016,2016-02-22,163491654908.959,bitfinex,438.46974218142
21017,2016-02-22,163491654908.959,cex.io,438.621284261373
21018,2016-02-22,163491654908.959,exmo,432.58731916883596
21019,2016-02-22,163491654908.959,coinbase,436.13932765478404
21020,2016-02-22,163491654908.959,gemini,437.25578933813205
21021,2016-02-22,163491654908.959,hitbtc,426.41804945265096
21022,2016-02-22,163491654908.959,kraken,430.26228421547796
21023,2016-02-22,163491654908.959,others,436.574979489636
21025,2016-02-23,163491654908.959,itbit,426.473050300867
21026,2016-02-23,163491654908.959,bitfinex,428.429883874116
21027,2016-02-23,163491654908.959,cex.io,430.29704870739306
21028,2016-02-23,163491654908.959,exmo,425.57590409586896
21029,2016-02-23,163491654908.959,coinbase,426.784363202127
21030,2016-02-23,163491654908.959,gemini,425.12985433023596
21031,2016-02-23,163491654908.959,hitbtc,427.236176587734
21032,2016-02-23,163491654908.959,kraken,425.011167747522
21033,2016-02-23,163491654908.959,others,426.6800323046415
21035,2016-02-24,163491654908.959,itbit,420.268317765254
21036,2016-02-24,163491654908.959,bitfinex,422.12313959099197
21037,2016-02-24,163491654908.959,cex.io,424.38708864745104
21038,2016-02-24,163491654908.959,exmo,419.024346029099
21039,2016-02-24,163491654908.959,coinbase,420.93401259113097
21040,2016-02-24,163491654908.959,gemini,419.953649242289
21041,2016-02-24,163491654908.959,hitbtc,420.67743018304395
21042,2016-02-24,163491654908.959,kraken,419.722310130199
21043,2016-02-24,163491654908.959,others,420.14800526194426
21045,2016-02-25,163491654908.959,itbit,421.52399107456904
21046,2016-02-25,163491654908.959,bitfinex,424.50233272745004
21047,2016-02-25,163491654908.959,cex.io,426.587524864422
21048,2016-02-25,163491654908.959,exmo,419.99493857427103
21049,2016-02-25,163491654908.959,coinbase,422.947463586857
21050,2016-02-25,163491654908.959,gemini,421.728715748218
21051,2016-02-25,163491654908.959,hitbtc,425.865116013603
21052,2016-02-25,163491654908.959,kraken,421.976673818075
21053,2016-02-25,163491654908.959,others,423.0094890553891
21055,2016-02-26,163491654908.959,itbit,422.739115512052
21056,2016-02-26,163491654908.959,bitfinex,425.517335383351
21057,2016-02-26,163491654908.959,cex.io,428.619989385418
21058,2016-02-26,163491654908.959,exmo,421.688750491561
21059,2016-02-26,163491654908.959,coinbase,423.341432841848
21060,2016-02-26,163491654908.959,gemini,423.569913157417
21061,2016-02-26,163491654908.959,hitbtc,428.321721611722
21062,2016-02-26,163491654908.959,kraken,423.35479357396895
21063,2016-02-26,163491654908.959,others,421.3262018043866
21065,2016-02-27,163491654908.959,itbit,430.38973744658097
21066,2016-02-27,163491654908.959,bitfinex,434.206327651592
21067,2016-02-27,163491654908.959,cex.io,435.512184460551
21068,2016-02-27,163491654908.959,exmo,429.40439313603105
21069,2016-02-27,163491654908.959,coinbase,432.141570916404
21070,2016-02-27,163491654908.959,gemini,431.889937416488
21071,2016-02-27,163491654908.959,hitbtc,439.20658805573504
21072,2016-02-27,163491654908.959,kraken,432.151530577824
21073,2016-02-27,163491654908.959,others,431.44047297784056
21075,2016-02-28,163491654908.959,itbit,427.560636326058
21076,2016-02-28,163491654908.959,bitfinex,430.176050736525
21077,2016-02-28,163491654908.959,cex.io,432.597789865435
21078,2016-02-28,163491654908.959,exmo,429.46418745923995
21079,2016-02-28,163491654908.959,coinbase,429.634916921044
21080,2016-02-28,163491654908.959,gemini,428.090540983252
21081,2016-02-28,163491654908.959,hitbtc,437.27272727272697
21082,2016-02-28,163491654908.959,kraken,427.892173702612
21083,2016-02-28,163491654908.959,others,428.23535355557516
21085,2016-02-29,163491654908.959,itbit,435.04787730122104
21086,2016-02-29,163491654908.959,bitfinex,438.716606688878
21087,2016-02-29,163491654908.959,cex.io,438.62464349905196
21088,2016-02-29,163491654908.959,exmo,434.07133838327104
21089,2016-02-29,163491654908.959,coinbase,436.15456831133906
