Time,bit-x,bitcoin24,bitcoinde,bitstamp,coinbase,gatecoin,itbit,kraken,mtgox,others
2011-10-12 00:00:00 UTC,,,,,,,,,,
2011-10-13 00:00:00 UTC,,,,,,,,,,
2011-10-14 00:00:00 UTC,,,,,,,,,,62.0
2011-10-15 00:00:00 UTC,,,,,,,,,,177.8712
2011-10-16 00:00:00 UTC,,,,,,,,,,
2011-10-17 00:00:00 UTC,,,,,,,,,,8.0
2011-10-18 00:00:00 UTC,,,,,,,,,,8.0
2011-10-19 00:00:00 UTC,,,,,,,,,,132.90861
2011-10-20 00:00:00 UTC,,,,,,,,,,
2011-10-21 00:00:00 UTC,,,,,,,,,,76.0
2011-10-22 00:00:00 UTC,,,,,,,,,,98.365
2011-10-23 00:00:00 UTC,,,,,,,,,,
2011-10-24 00:00:00 UTC,,,,,,,,,,80.3111
2011-10-25 00:00:00 UTC,,,,,,,,,,4.0
2011-10-26 00:00:00 UTC,,,,,,,,,,80.742
2011-10-27 00:00:00 UTC,,,,,,,,,,100.0
2011-10-28 00:00:00 UTC,,,,,,,,,,10.7423
2011-10-29 00:00:00 UTC,,,,,,,,,,119.8
2011-10-30 00:00:00 UTC,,,,,,,,,,
2011-10-31 00:00:00 UTC,,,,,,,,,,116.796
2011-11-01 00:00:00 UTC,,,,,,,,,,36.8978
2011-11-02 00:00:00 UTC,,,,,,,,,,6.66667
2011-11-03 00:00:00 UTC,,,,,,,,,,
2011-11-04 00:00:00 UTC,,,,,,,,,,
2011-11-05 00:00:00 UTC,,,,,,,,,,39.5
2011-11-06 00:00:00 UTC,,,,,,,,,,
2011-11-07 00:00:00 UTC,,,,,,,,,,128.2
2011-11-08 00:00:00 UTC,,,,,,,,,0.05788212,155.8
2011-11-09 00:00:00 UTC,,,,,,,,,,70.04065
2011-11-10 00:00:00 UTC,,,,,,,,,,3.0
2011-11-11 00:00:00 UTC,,,,,,,,,,21.0
2011-11-12 00:00:00 UTC,,,,,,,,,,2.0
2011-11-13 00:00:00 UTC,,,,,,,,,,47.18
2011-11-14 00:00:00 UTC,,,,,,,,,,239.8
2011-11-15 00:00:00 UTC,,,,,,,,,,272.00070000000005
2011-11-16 00:00:00 UTC,,,,,,,,,,122.4
2011-11-17 00:00:00 UTC,,,,,,,,,,222.0
2011-11-18 00:00:00 UTC,,,,,,,,,,101.8695
2011-11-19 00:00:00 UTC,,,,,,,,,,68.0
2011-11-20 00:00:00 UTC,,,,,,,,,,36.0
2011-11-21 00:00:00 UTC,,,,,,,,,,12.0
2011-11-22 00:00:00 UTC,,,,,,,,,,177.7976
2011-11-23 00:00:00 UTC,,,,,,,,,,56.01
2011-11-24 00:00:00 UTC,,,,,,,,,,49.75
2011-11-25 00:00:00 UTC,,,,,,,,,,16.025100000000002
2011-11-26 00:00:00 UTC,,,,,,,,,,35.65495
2011-11-27 00:00:00 UTC,,,,,,,,,,
2011-11-28 00:00:00 UTC,,,,,,,,,,236.0518
2011-11-29 00:00:00 UTC,,,,,,,,,,57.9
2011-11-30 00:00:00 UTC,,,,,,,,,,96.45859
2011-12-01 00:00:00 UTC,,,,,,,,,,8.24
2011-12-02 00:00:00 UTC,,,,,,,,,,132.08685
2011-12-03 00:00:00 UTC,,,,,,,,,,41.9361
2011-12-04 00:00:00 UTC,,,,,,,,,255.71787898,117.53303
2011-12-05 00:00:00 UTC,,,,,,,,,998.06151125,18.79
2011-12-06 00:00:00 UTC,,,,,,,,,162.14998088,183.134
2011-12-07 00:00:00 UTC,,,,,,,,,253.56627954,79.0
2011-12-08 00:00:00 UTC,,,,,,,,,1626.57450327,53.0
2011-12-09 00:00:00 UTC,,,,,,,,,555.64275976,53.357
2011-12-10 00:00:00 UTC,,,,,,,,,231.40570695,12.43617
2011-12-11 00:00:00 UTC,,,,,,,,,340.00388573,
2011-12-12 00:00:00 UTC,,,,,,,,,339.87634052,8.0
2011-12-13 00:00:00 UTC,,,,,,,,,137.46144078,99.37759
2011-12-14 00:00:00 UTC,,,,,,,,,1757.81109778,47.0
2011-12-15 00:00:00 UTC,,,,,,,,,639.94289121,30.0
2011-12-16 00:00:00 UTC,,,,,,,,,900.83438579,1.0
2011-12-17 00:00:00 UTC,,,,,,,,,382.71689781,1.0
2011-12-18 00:00:00 UTC,,,,,,,,,56.8545937,8.2
2011-12-19 00:00:00 UTC,,,,,,,,,1034.61275273,1007.60014
2011-12-20 00:00:00 UTC,,,,,,,,,2034.88966789,220.85557
2011-12-21 00:00:00 UTC,,,,,,,,,1586.72968869,149.4769
2011-12-22 00:00:00 UTC,,,,,,,,,827.37615359,3.0
2011-12-23 00:00:00 UTC,,,,,,,,,2892.07556278,
2011-12-24 00:00:00 UTC,,,,,,,,,150.23156237,2.0
2011-12-25 00:00:00 UTC,,,,,,,,,1039.10913127,2.5
2011-12-26 00:00:00 UTC,,,,,,,,,642.62853403,
2011-12-27 00:00:00 UTC,,,,,,,,,2885.8443443,99.5
2011-12-28 00:00:00 UTC,,,,,,,,,955.64404709,128.0
2011-12-29 00:00:00 UTC,,,,,,,,,183.35600592,32.0
2011-12-30 00:00:00 UTC,,,,,,,,,3093.12752524,4.42478
2011-12-31 00:00:00 UTC,,,,,,,,,919.09417932,52.0
2012-01-01 00:00:00 UTC,,,,,,,,,1347.82977442,13.36303
2012-01-02 00:00:00 UTC,,,,,,,,,1255.55685152,157.0
2012-01-03 00:00:00 UTC,,,,,,,,,1803.95517786,0.57522
2012-01-04 00:00:00 UTC,,,,,,,,,2212.4556989,5.08174
2012-01-05 00:00:00 UTC,,,,,,,,,3068.27185828,174.90159
2012-01-06 00:00:00 UTC,,,,,,,,,3371.37191652,300.21184
2012-01-07 00:00:00 UTC,,,,,,,,,499.61166182,9.0
2012-01-08 00:00:00 UTC,,,,,,,,,346.60025934,105.0
2012-01-09 00:00:00 UTC,,,,,,,,,1449.17188171,52.01
2012-01-10 00:00:00 UTC,,,,,,,,,2425.02917266,153.49416
2012-01-11 00:00:00 UTC,,,,,,,,,2261.78391726,54.16691
2012-01-12 00:00:00 UTC,,,,,,,,,1987.40516834,39.9491
2012-01-13 00:00:00 UTC,,,,,,,,,1067.75274094,18.0
2012-01-14 00:00:00 UTC,,,,,,,,,4089.48762465,27.0
2012-01-15 00:00:00 UTC,,,,,,,,,1327.52804892,39.71
2012-01-16 00:00:00 UTC,,,,,,,,,2025.61520276,32.0
2012-01-17 00:00:00 UTC,,,,,,,,,4866.34255615,159.22036
2012-01-18 00:00:00 UTC,,,,,,,,,1875.58956439,82.8747
2012-01-19 00:00:00 UTC,,,,,,,,,3416.70715083,1.0
2012-01-20 00:00:00 UTC,,,,,,,,,2007.43238065,81.86792
2012-01-21 00:00:00 UTC,,,,,,,,,1752.28408287,38.0
2012-01-22 00:00:00 UTC,,,,,,,,,1171.39843622,17.41048
2012-01-23 00:00:00 UTC,,,,,,,,,799.50988706,30.0
2012-01-24 00:00:00 UTC,,,,,,,,,639.0798369,50.0
2012-01-25 00:00:00 UTC,,,,,,,,,4518.13133837,153.14162000000002
2012-01-26 00:00:00 UTC,,,,,,,,,1466.99160674,70.0
2012-01-27 00:00:00 UTC,,,,,,,,,2517.40382261,118.23976
2012-01-28 00:00:00 UTC,,,,,,,,,1697.03063066,1.0
2012-01-29 00:00:00 UTC,,,,,,,,,1167.78441187,36.02295
2012-01-30 00:00:00 UTC,,,,,,,,,553.77326147,18.778
2012-01-31 00:00:00 UTC,,,,,,,,,476.06702645,20.0
2012-02-01 00:00:00 UTC,,,,,,,,,1275.07736335,461.30418
2012-02-02 00:00:00 UTC,,,,,,,,,1812.83954103,30.0
2012-02-03 00:00:00 UTC,,,,,,,,,555.9216859,71.98813
2012-02-04 00:00:00 UTC,,,,,,,,,191.49032768,132.82139
2012-02-05 00:00:00 UTC,,,,,,,,,815.39761354,118.05
2012-02-06 00:00:00 UTC,,,,,,,,,1781.09851646,2.82
2012-02-07 00:00:00 UTC,,,,,,,,,1272.36360641,13.0
2012-02-08 00:00:00 UTC,,,,,,,,,2076.96328871,189.15459
2012-02-09 00:00:00 UTC,,,,,,,,,541.20782778,74.99031
2012-02-10 00:00:00 UTC,,,,,,,,,1290.36757373,61.04933
2012-02-11 00:00:00 UTC,,,,,,,,,1686.08561729,54.0
2012-02-12 00:00:00 UTC,,,,,,,,,1182.41667263,9.04674
2012-02-13 00:00:00 UTC,,,,,,,,,815.28273244,72.56874
2012-02-14 00:00:00 UTC,,,,,,,,,6190.2408982,231.85896
2012-02-15 00:00:00 UTC,,,,,,,,,2732.39279946,155.3674
2012-02-16 00:00:00 UTC,,,,,,,,,3677.53882508,147.50396999999998
2012-02-17 00:00:00 UTC,,,,,,,,,1470.91018469,393.77
2012-02-18 00:00:00 UTC,,,,,,,,,1326.49919707,41.32131
2012-02-19 00:00:00 UTC,,,,,,,,,736.53921134,
2012-02-20 00:00:00 UTC,,,,,,,,,1228.45715983,119.71502
2012-02-21 00:00:00 UTC,,,,,,,,,1702.73543689,13.14702
2012-02-22 00:00:00 UTC,,,,,,,,,3443.33007651,124.5774
2012-02-23 00:00:00 UTC,,,,,,,,,1152.67362152,16.17
2012-02-24 00:00:00 UTC,,,,,,,,,2633.10942423,41.01051
2012-02-25 00:00:00 UTC,,,,,,,,,1172.7530663,100.1233
2012-02-26 00:00:00 UTC,,,,,,,,,913.57239502,24.54545
2012-02-27 00:00:00 UTC,,,,,,,,,454.65967402,24.99579
2012-02-28 00:00:00 UTC,,,,,,,,,1422.94295221,43.70692
2012-02-29 00:00:00 UTC,,,,,,,,,2654.94358584,64.0
2012-03-01 00:00:00 UTC,,,,,,,,,1792.65089522,30.12575
2012-03-02 00:00:00 UTC,,,,,,,,,1542.37749675,74.22201
2012-03-03 00:00:00 UTC,,,,,,,,,433.18728699,49.0
2012-03-04 00:00:00 UTC,,,,,,,,,436.68956124,45.21511
2012-03-05 00:00:00 UTC,,,,,,,,,999.79826813,112.31081
2012-03-06 00:00:00 UTC,,,,,,,,,1807.10841063,19.39081
2012-03-07 00:00:00 UTC,,,,,,,,,699.84654497,372.89191
2012-03-08 00:00:00 UTC,,,,,,,,,1963.10386412,478.15439
2012-03-09 00:00:00 UTC,,,,,,,,,1280.31572508,133.35922
2012-03-10 00:00:00 UTC,,,,,,,,,1791.8370493,130.61957
2012-03-11 00:00:00 UTC,,,,,,,,,482.90693911,1.29
2012-03-12 00:00:00 UTC,,,,,,,,,1330.70488654,110.52257
2012-03-13 00:00:00 UTC,,,,,,,,,1881.73532802,32.22886
2012-03-14 00:00:00 UTC,,,,,,,,,1280.88792654,122.21104
2012-03-15 00:00:00 UTC,,,,,,,,,918.78980763,
2012-03-16 00:00:00 UTC,,,,,,,,,1862.64326794,131.86903999999998
2012-03-17 00:00:00 UTC,,,,,,,,,1136.17702098,59.42571
2012-03-18 00:00:00 UTC,,,,,,,,,673.0860646,76.09491
2012-03-19 00:00:00 UTC,,,,,,,,,2664.41153324,214.5372
2012-03-20 00:00:00 UTC,,,,,,,,,1436.16735972,105.86206
2012-03-21 00:00:00 UTC,,,,,,,,,1011.97446146,95.0
2012-03-22 00:00:00 UTC,,,,,,,,,2377.62302865,135.91424
2012-03-23 00:00:00 UTC,,,,,,,,,2407.83625129,20.0
2012-03-24 00:00:00 UTC,,,,,,,,,1276.72520278,5.4
2012-03-25 00:00:00 UTC,,,,,,,,,2205.58480246,26.67871
2012-03-26 00:00:00 UTC,,,,,,,,,3025.13446935,40.583
2012-03-27 00:00:00 UTC,,,,,,,,,2199.9353946,2.0
2012-03-28 00:00:00 UTC,,,,,,,,,2602.29994618,75.90943
2012-03-29 00:00:00 UTC,,,,,,,,,1871.95441017,162.78813
2012-03-30 00:00:00 UTC,,,,,,,,,1243.59808382,24.47
2012-03-31 00:00:00 UTC,,,,,,,,,344.92100932,6.0
2012-04-01 00:00:00 UTC,,,,,,,,,1091.88438237,25.470000000000002
2012-04-02 00:00:00 UTC,,,,,,,,,1026.3589716,47.51
2012-04-03 00:00:00 UTC,,,,,,,,,1677.18592313,116.546
2012-04-04 00:00:00 UTC,,,,,,,,,305.4314264,7.91295
2012-04-05 00:00:00 UTC,,,,,,,,,1487.34325553,109.54626
2012-04-06 00:00:00 UTC,,,,,,,,,2831.6168447,55.60999674
2012-04-07 00:00:00 UTC,,,,,,,,,1165.3668165,61.38566
2012-04-08 00:00:00 UTC,,,,,,,,,582.76422829,13.3
2012-04-09 00:00:00 UTC,,,,,,,,,483.73286694,3.0
2012-04-10 00:00:00 UTC,,,,,,,,,643.96651387,44.53529
2012-04-11 00:00:00 UTC,,,,,,,,,1897.02561983,114.15425
2012-04-12 00:00:00 UTC,,,,,,,,,585.67162623,152.64
2012-04-13 00:00:00 UTC,,,,,,,,,1549.10280241,51.884
2012-04-14 00:00:00 UTC,,,,,,,,,515.70801735,203.305
2012-04-15 00:00:00 UTC,,,,,,,,,554.45149099,26.32
2012-04-16 00:00:00 UTC,,,,,,,,,350.50279951,39.43006
2012-04-17 00:00:00 UTC,,,,,,,,,3436.01665115,344.58175
2012-04-18 00:00:00 UTC,,,,,,,,,5879.12639139,226.9098
2012-04-19 00:00:00 UTC,,,,,,,,,1843.85808371,118.12334
2012-04-20 00:00:00 UTC,,,,,,,,,2391.73973492,249.56
2012-04-21 00:00:00 UTC,,,,,,,,,647.27589554,23.596
2012-04-22 00:00:00 UTC,,,,,,,,,279.26204989,5.8
2012-04-23 00:00:00 UTC,,,,,,,,,1354.09124778,343.3
2012-04-24 00:00:00 UTC,,,,,,,,,2049.7047976,168.63278
2012-04-25 00:00:00 UTC,,,,,,,,,567.64661328,221.969
2012-04-26 00:00:00 UTC,,,,,,,,,1946.83044471,386.13185
2012-04-27 00:00:00 UTC,,,,,,,,,3049.5418363,221.65083
2012-04-28 00:00:00 UTC,,,,,,,,,4174.6854125,35.279759999999996
2012-04-29 00:00:00 UTC,,,,,,,,,192.31449753,632.52969
2012-04-30 00:00:00 UTC,,,,,,,,,555.98995777,24.487
2012-05-01 00:00:00 UTC,,,,,,,,,346.00191881,224.6699
2012-05-02 00:00:00 UTC,,,,,,,,,915.77737307,126.65565
2012-05-03 00:00:00 UTC,,,,,,,,,1144.35717294,144.16526
2012-05-04 00:00:00 UTC,,,,,,,,,1720.43776128,34.773489999999995
2012-05-05 00:00:00 UTC,,,,,,,,,1063.39938103,5.0
2012-05-06 00:00:00 UTC,,,,,,,,,1842.2493047,16.19775
2012-05-07 00:00:00 UTC,,,,,,,,,1353.17106028,148.85394
2012-05-08 00:00:00 UTC,,,,,,,,,676.54286466,22.02575
2012-05-09 00:00:00 UTC,,45.3,,,,,,,1817.383163,75.21838
2012-05-10 00:00:00 UTC,,19.5,,,,,,,1715.78465673,76.39709
2012-05-11 00:00:00 UTC,,46.0,,,,,,,3781.13656428,201.65143
2012-05-12 00:00:00 UTC,,0.77,,,,,,,874.51092868,114.47
2012-05-13 00:00:00 UTC,,36.8,,,,,,,1005.26848204,128.66141
2012-05-14 00:00:00 UTC,,9.5,,,,,,,1353.57722174,357.3
2012-05-15 00:00:00 UTC,,15.3,,,,,,,1886.08765285,150.66937
2012-05-16 00:00:00 UTC,,28.965,,,,,,,1346.22922208,1548.61
2012-05-17 00:00:00 UTC,,,,,,,,,1657.79057739,85.00404
2012-05-18 00:00:00 UTC,,167.32,,,,,,,4220.51949131,96.65136
2012-05-19 00:00:00 UTC,,45.09815458,,,,,,,3181.46653558,1.6
2012-05-20 00:00:00 UTC,,19.01000001,,,,,,,1614.63376915,0.15
2012-05-21 00:00:00 UTC,,37.0,,,,,,,1815.62213522,14.85247
2012-05-22 00:00:00 UTC,,178.32309541,,,,,,,2143.73141815,12.34598
2012-05-23 00:00:00 UTC,,114.20794317,,,,,,,4298.48201659,306.42
2012-05-24 00:00:00 UTC,,104.58876652,,,,,,,2015.22710784,30.13152
2012-05-25 00:00:00 UTC,,169.15036,,,,,,,2021.2736693,11.81
2012-05-26 00:00:00 UTC,,140.70942989,,,,,,,2052.91121356,1.0
2012-05-27 00:00:00 UTC,,114.04213122,,,,,,,1034.84259694,49.0
2012-05-28 00:00:00 UTC,,123.19849,,,,,,,3303.80609723,32.1742
2012-05-29 00:00:00 UTC,,187.099,,,,,,,1733.43224033,175.13547
2012-05-30 00:00:00 UTC,,294.20393003,,,,,,,1479.3462362,238.98556
2012-05-31 00:00:00 UTC,,289.01024604,,,,,,,911.09485995,20.13827
2012-06-01 00:00:00 UTC,,127.29,,,,,,,2201.60413009,36.61415
2012-06-02 00:00:00 UTC,,80.12081604,,,,,,,684.40836038,32.6
2012-06-03 00:00:00 UTC,,132.736,,,,,,,1632.94136655,10.7
2012-06-04 00:00:00 UTC,,239.35953416,,,,,,,5223.28761233,178.00048
2012-06-05 00:00:00 UTC,,338.719,,,,,,,4523.63792129,171.23961
2012-06-06 00:00:00 UTC,,62.85,,,,,,,1105.15922656,119.55391
2012-06-07 00:00:00 UTC,,309.51310375,,,,,,,2798.96811183,116.01782
2012-06-08 00:00:00 UTC,,243.78553416,,,,,,,4013.84423896,83.813
2012-06-09 00:00:00 UTC,,207.65656751,,,,,,,1442.01732094,29.99685
